state,abbrev,net_domestic_migration_2023
Alabama,AL,29946
Alaska,AK,-4886
Arizona,AZ,35208
Arkansas,AR,17821
California,CA,-344029
Colorado,CO,6341
Connecticut,CT,-6462
Delaware,DE,9931
Florida,FL,185067
Georgia,GA,52290
Hawaii,HI,-11033
Idaho,ID,14730
Illinois,IL,-81875
Indiana,IN,3173
Iowa,IA,-3674
Kansas,KS,-5358
Kentucky,KY,7297
Louisiana,LA,-31236
Maine,ME,9598
Maryland,MD,-32748
Massachusetts,MA,-36572
Michigan,MI,-17446
Minnesota,MN,-5334
Mississippi,MS,-3481
Missouri,MO,9638
Montana,MT,9110
Nebraska,NE,-1077
Nevada,NV,8174
New Hampshire,NH,4470
New Jersey,NJ,-48148
New Mexico,NM,-1487
New York,NY,-176893
North Carolina,NC,98981
North Dakota,ND,912
Ohio,OH,-967
Oklahoma,OK,22660
Oregon,OR,-8014
Pennsylvania,PA,-21730
Rhode Island,RI,-3281
South Carolina,SC,80092
South Dakota,SD,4536
Tennessee,TN,60293
Texas,TX,190994
Utah,UT,493
Vermont,VT,773
Virginia,VA,-9646
Washington,WA,-17293
West Virginia,WV,3296
Wisconsin,WI,7685
Wyoming,WY,1741
District of Columbia,DC,-2580
